Region	Distance_to_Start	Sum_of_base_coverage	Count	Average_Read_Depth
3UTR	1	6625937	157760	42.0001
3UTR	2	6302036	149940	42.0304
3UTR	3	6302637	149940	42.0344
3UTR	4	6303205	149940	42.0382
3UTR	5	6304461	149940	42.0466
3UTR	6	6306822	149940	42.0623
3UTR	7	6308473	149940	42.0733
3UTR	8	6311121	149940	42.091
3UTR	9	6310377	149940	42.086
3UTR	10	6309767	149940	42.0819
3UTR	11	6312920	149940	42.103
3UTR	12	6314194	149940	42.1115
3UTR	13	6316669	149940	42.128
3UTR	14	6309030	149770	42.1248
3UTR	15	6311002	149770	42.138
3UTR	16	6313913	149770	42.1574
3UTR	17	6317106	149770	42.1787
3UTR	18	6313839	149600	42.2048
3UTR	19	6316900	149600	42.2253
3UTR	20	6321093	149600	42.2533
3UTR	21	6324685	149600	42.2773
3UTR	22	6329313	149600	42.3082
3UTR	23	6332390	149600	42.3288
3UTR	24	6336075	149600	42.3534
3UTR	25	6325021	149430	42.3277
3UTR	26	6326342	149430	42.3365
3UTR	27	6328661	149430	42.352
3UTR	28	6331066	149430	42.3681
3UTR	29	6333345	149430	42.3834
3UTR	30	6335018	149430	42.3946
3UTR	31	6338379	149430	42.417
3UTR	32	6335750	149260	42.4477
3UTR	33	6329256	149090	42.4526
3UTR	34	6332685	149090	42.4756
3UTR	35	6335293	149090	42.4931
3UTR	36	6338707	149090	42.516
3UTR	37	6342883	149090	42.544
3UTR	38	6336858	148920	42.5521
3UTR	39	6340383	148920	42.5758
3UTR	40	6346050	148920	42.6138
3UTR	41	6349235	148920	42.6352
3UTR	42	6349495	148920	42.637
3UTR	43	6352702	148920	42.6585
3UTR	44	6355850	148920	42.6796
3UTR	45	6359475	148920	42.704
3UTR	46	6363132	148920	42.7285
3UTR	47	6365806	148920	42.7465
3UTR	48	6348811	148580	42.7299
3UTR	49	6347904	148580	42.7238
3UTR	50	6349973	148580	42.7377
3UTR	51	6350894	148580	42.7439
3UTR	52	6353466	148580	42.7612
3UTR	53	6356363	148580	42.7807
3UTR	54	6359975	148580	42.8051
3UTR	55	6363160	148580	42.8265
3UTR	56	6367920	148580	42.8585
3UTR	57	6364576	148410	42.8851
3UTR	58	6349537	148070	42.882
3UTR	59	6352037	148070	42.8989
3UTR	60	6346257	147900	42.9091
3UTR	61	6350385	147900	42.937
3UTR	62	6344429	147730	42.9461
3UTR	63	6349260	147730	42.9788
3UTR	64	6352136	147730	42.9983
3UTR	65	6337528	147390	42.9984
3UTR	66	6325433	147050	43.0155
3UTR	67	6331113	147050	43.0542
3UTR	68	6337133	147050	43.0951
3UTR	69	6340837	147050	43.1203
3UTR	70	6334872	146880	43.1296
3UTR	71	6339040	146880	43.158
3UTR	72	6335324	146710	43.1826
3UTR	73	6340757	146710	43.2197
3UTR	74	6335450	146540	43.2336
3UTR	75	6339349	146540	43.2602
3UTR	76	6338010	146370	43.3013
3UTR	77	6333369	146200	43.3199
3UTR	78	6336906	146200	43.3441
3UTR	79	6343747	146200	43.3909
3UTR	80	6347628	146200	43.4174
3UTR	81	6350607	146200	43.4378
